iter	RMSE
0	86580.65108
1	84055.12739
2	81875.68914
3	79974.3628
4	78467.16547
5	76853.02746
6	75415.88717
7	74223.88889
8	73050.78695
9	72162.70482
10	71254.05604
11	70443.22299
12	69643.98454
13	69039.42006
14	68304.76879
15	67713.91367
16	67100.75269
17	66606.99164
18	66043.32818
19	65676.09375
20	65229.66694
21	64826.51948
22	64513.6212
23	64236.22559
24	63919.78735
25	63627.26409
26	63337.0171
27	63083.4648
28	62891.92044
29	62706.26973
30	62471.30341
31	62214.23979
32	62028.15438
33	61834.14133
34	61561.20806
35	61341.60313
36	61119.3842
37	60734.34476
38	60618.97181
39	60403.00655
40	60226.55072
41	59873.93911
42	59711.24859
43	59603.74072
44	59516.16321
45	59186.76788
46	59035.02276
47	58899.19527
48	58635.06649
49	58477.7203
50	58345.61612
51	58287.11624
52	58022.66397
53	57681.9694
54	57495.88389
55	57357.6803
56	57077.10705
57	56972.25785
58	56888.22091
59	56711.44441
60	56321.93413
61	56166.78495
62	56049.57469
63	55927.83585
64	55832.43644
65	55745.15021
66	55678.95735
67	55604.7342
68	55436.50322
69	55175.6149
70	55148.86606
71	55081.42775
72	55001.20529
73	54915.67099
74	54826.33348
75	54663.2345
76	54639.81612
77	54521.62066
78	54437.90617
79	54369.51395
80	54248.89464
81	54160.91226
82	53965.16375
83	53729.2518
84	53698.81889
85	53628.06147
86	53576.98686
87	53330.49556
88	53255.51564
89	53196.65555
90	53132.60529
91	53083.89061
92	53025.26482
93	52866.13602
94	52771.0011
95	52314.66376
96	52251.25918
97	52186.18238
98	52118.27809
99	52051.00357
100	52026.5978
101	52016.33422
102	51958.83425
103	51894.97556
104	51645.00526
105	51586.44611
106	51532.14025
107	51497.66006
108	51414.07009
109	51348.76247
110	51326.70099
111	51234.46516
112	51216.37849
113	50942.2089
114	50461.99046
115	50422.53824
116	50384.4363
117	50327.25025
118	50268.39824
119	50201.09277
120	50191.25497
121	50130.12026
122	49966.43224
123	49640.0231
124	49622.48452
125	49557.89043
126	49547.6721
127	49521.29059
128	49463.97245
129	49400.43005
130	49164.20078
131	49136.90008
132	49098.76968
133	49072.00284
