iter	Passed	Remaining
0	3	10420
1	6	10414
2	10	10326
3	13	10278
4	17	10213
5	20	10157
6	24	10330
7	27	10281
8	30	10255
9	34	10198
10	37	10316
11	41	10268
12	44	10217
13	48	10274
14	51	10160
15	54	10217
16	57	10172
17	61	10156
18	64	10101
19	67	10023
20	70	9990
21	73	9963
22	76	9954
23	80	9932
24	83	9920
25	86	9895
26	90	9933
27	93	9910
28	96	9880
29	99	9850
30	102	9818
31	105	9807
32	109	9830
33	112	9834
34	115	9802
35	118	9796
36	122	9816
37	125	9810
38	128	9791
39	132	9775
40	135	9756
41	138	9740
42	141	9719
43	143	9623
44	146	9624
45	149	9631
46	153	9630
47	156	9611
48	159	9607
49	162	9587
50	165	9582
51	168	9569
52	172	9565
53	175	9568
54	178	9561
55	181	9556
56	184	9547
57	187	9529
58	190	9504
59	194	9509
60	197	9530
61	201	9537
62	204	9547
63	208	9553
64	212	9602
65	216	9608
66	219	9614
67	222	9614
68	226	9633
69	229	9624
70	232	9610
71	236	9601
72	239	9612
73	244	9648
74	247	9666
75	251	9691
76	255	9688
77	258	9686
78	262	9688
79	265	9684
80	268	9684
81	271	9678
82	275	9682
83	278	9674
84	281	9659
85	284	9655
86	286	9597
87	290	9601
88	293	9595
89	296	9581
90	299	9565
91	302	9560
92	305	9553
93	308	9550
94	311	9533
95	315	9538
96	318	9529
97	321	9526
98	324	9512
99	327	9500
100	331	9507
101	334	9501
102	337	9501
103	340	9492
104	343	9480
105	346	9467
106	349	9457
107	352	9446
108	355	9440
109	359	9432
110	362	9425
111	365	9422
112	368	9413
113	372	9420
114	375	9432
115	379	9435
116	382	9425
117	385	9426
118	389	9435
119	393	9441
120	397	9448
121	400	9459
122	404	9462
123	407	9459
124	411	9453
125	415	9476
126	418	9472
127	422	9470
128	425	9477
129	429	9485
130	433	9498
131	437	9497
132	440	9498
133	444	9510
134	447	9505
135	451	9518
136	455	9512
137	458	9500
138	463	9540
139	467	9557
140	471	9553
141	474	9547
142	477	9549
143	481	9550
144	485	9553
145	488	9545
146	491	9533
147	494	9529
148	497	9525
149	501	9520
150	504	9522
151	508	9521
152	512	9531
153	515	9521
154	518	9512
155	521	9509
156	524	9501
157	527	9491
158	530	9487
159	533	9478
160	537	9470
161	540	9474
162	544	9469
163	547	9464
164	550	9465
165	554	9462
166	557	9451
167	560	9442
168	563	9438
169	566	9431
170	569	9428
171	573	9426
172	576	9423
173	579	9419
174	583	9418
175	587	9419
176	590	9417
177	593	9413
178	597	9415
179	601	9427
180	605	9424
181	609	9430
182	612	9434
183	616	9433
184	619	9420
185	622	9416
186	625	9410
187	628	9402
188	631	9395
189	634	9386
190	637	9382
191	641	9384
192	644	9380
193	648	9382
194	652	9380
195	655	9380
196	658	9375
197	661	9366
198	664	9358
199	668	9355
200	671	9350
201	674	9345
202	678	9346
203	681	9343
204	685	9341
205	688	9333
206	691	9328
207	694	9323
208	697	9315
209	700	9307
210	703	9297
211	706	9293
212	710	9290
213	713	9289
214	716	9285
215	719	9277
216	722	9267
217	725	9259
218	728	9255
219	731	9249
220	735	9244
221	738	9240
222	741	9238
223	745	9235
224	748	9231
225	752	9231
226	754	9221
227	757	9215
228	761	9208
229	764	9202
230	767	9199
231	770	9196
232	774	9196
233	777	9194
234	781	9192
235	784	9189
236	787	9183
237	791	9181
238	794	9180
239	797	9175
240	802	9186
241	806	9190
242	809	9188
243	813	9184
244	817	9188
245	820	9180
246	823	9174
247	826	9171
248	829	9163
249	832	9160
250	836	9161
251	839	9159
252	843	9153
253	846	9148
254	849	9143
255	852	9137
256	855	9134
257	859	9130
258	862	9123
259	865	9122
260	868	9117
261	872	9116
262	875	9112
263	879	9112
264	882	9112
265	885	9105
266	888	9098
267	892	9093
268	895	9091
269	898	9088
270	902	9086
271	905	9082
272	909	9080
273	912	9075
274	915	9070
275	917	9058
276	921	9059
277	924	9054
278	927	9047
279	931	9050
280	935	9048
281	938	9043
282	941	9037
283	944	9032
284	947	9027
285	950	9022
286	953	9014
287	956	9010
288	959	9004
289	962	8997
290	965	8992
291	969	8989
292	972	8987
293	976	8983
294	979	8981
295	983	8983
296	986	8981
297	991	8985
298	994	8981
299	997	8979
300	1001	8982
301	1005	8979
302	1008	8978
303	1011	8974
304	1015	8973
305	1018	8969
306	1022	8967
307	1025	8963
308	1028	8957
309	1031	8953
310	1035	8949
311	1039	8952
312	1042	8950
313	1046	8950
314	1049	8948
315	1053	8948
316	1057	8947
317	1061	8951
318	1065	8955
319	1069	8955
320	1073	8962
321	1078	8971
322	1083	8976
323	1087	8983
324	1091	8980
325	1095	8983
326	1099	8985
327	1102	8982
328	1106	8981
329	1110	8981
330	1113	8981
331	1120	9004
332	1123	9001
333	1128	9006
334	1132	9007
335	1135	9005
336	1139	9004
337	1142	9000
338	1146	8997
339	1149	8995
340	1153	8993
341	1157	8994
342	1161	8993
343	1164	8992
344	1167	8986
345	1171	8982
346	1175	8985
347	1179	8987
348	1184	8994
349	1188	8997
350	1192	8997
351	1196	8998
352	1200	8999
353	1203	8994
354	1206	8992
355	1210	8993
356	1214	8991
357	1217	8988
358	1221	8984
359	1225	8983
360	1230	8997
361	1234	8997
362	1238	8995
363	1243	9002
364	1246	8999
365	1250	8997
366	1253	8993
367	1258	9002
368	1261	8994
369	1264	8989
370	1267	8983
371	1271	8979
372	1274	8978
373	1278	8975
374	1281	8973
375	1285	8971
376	1288	8966
377	1292	8966
378	1296	8964
379	1299	8959
380	1302	8956
381	1305	8949
382	1309	8947
383	1312	8942
384	1316	8938
385	1319	8932
386	1322	8931
387	1326	8928
388	1329	8925
389	1332	8919
390	1335	8913
391	1340	8916
392	1343	8913
393	1348	8917
394	1352	8916
395	1355	8914
396	1358	8909
397	1362	8906
398	1365	8904
399	1369	8902
400	1373	8901
401	1377	8899
402	1381	8905
403	1385	8903
404	1389	8902
405	1392	8897
406	1395	8893
407	1398	8887
408	1402	8883
409	1405	8879
410	1409	8875
411	1412	8871
412	1415	8867
413	1419	8868
414	1423	8866
415	1427	8863
416	1430	8861
417	1433	8857
418	1437	8852
419	1440	8846
420	1442	8839
421	1446	8834
422	1449	8828
423	1452	8825
424	1455	8821
425	1459	8816
426	1462	8812
427	1465	8807
428	1469	8804
429	1473	8806
